DateTime,Entries,UniqueIPs
1555352913,1307,1307
1555354973,1343,1343
1555356984,1355,1355
1555358924,1356,1356
1555360836,1336,1336
1555362759,1295,1295
1555364685,1275,1275
1555366587,1257,1257
1555369348,1252,1252
1555371157,1226,1226
1555373093,1206,1206
1555374987,1189,1189
1555376927,1182,1182
1555378842,1178,1178
1555380779,1178,1178
1555382681,1183,1183
1555384598,1189,1189
1555386498,1190,1190
1555388434,1203,1203
1555390368,1241,1241
1555392281,1282,1282
1555394218,1288,1288
1555396122,1303,1303
1555398150,1313,1313
1555399957,1308,1308
1555402123,1310,1310
1555404024,1310,1310
1555405965,1311,1311
1555407873,1315,1315
1555409813,1313,1313
1555411716,1327,1327
1555413642,1320,1320
1555415548,1322,1322
1555417481,1313,1313
1555419404,1325,1325
1555421306,1323,1323
1555423343,1326,1326
1555425179,1382,1382
1555427085,1384,1384
1555429003,1388,1388
1555430921,1388,1388
1555432839,1384,1384
1555434746,1390,1390
1555436685,1394,1394
1555438598,1398,1398
1555440784,1369,1369
1555442664,1360,1360
1555444604,1353,1353
1555446690,1347,1347
1555448698,1339,1339
1555450867,1360,1360
1555452746,1358,1358
1555454753,1354,1354
1555456589,1363,1363
1555458525,1378,1378
1555460439,1386,1386
1555462370,1389,1389
1555464273,1402,1402
1555466196,1407,1407
1555468111,1412,1412
1555470312,1422,1422
1555472184,1421,1421
1555474365,1441,1441
1555476269,1442,1442
1555478468,1365,1365
1555480369,1375,1375
1555482281,1385,1385
1555484194,1533,1533
1555486284,1546,1546
1555488314,1558,1558
1555490193,1547,1547
1555492111,1555,1555
1555494052,1554,1554
1555495947,1561,1561
1555497891,1564,1564
1555499791,1574,1574
1555501707,1577,1577
1555503657,1592,1592
1555505587,1601,1601
1555507473,1602,1602
1555509411,1602,1602
1555511300,1552,1552
1555513381,1545,1545
1555515404,1552,1552
1555517371,1562,1562
1555519231,1579,1579
1555521151,1579,1579
1555523084,1587,1587
1555524994,1582,1582
1555526906,1585,1585
1555528856,1590,1590
1555530751,1602,1602
1555532671,1601,1601
1555534600,1598,1598
1555536512,1591,1591
1555538590,1603,1603
1555540878,1608,1608
1555542767,1619,1619
1555544661,1616,1616
1555546590,1613,1613
1555548511,1614,1614
1555550452,1614,1614
1555552341,1607,1607
1555554277,1606,1606
1555556183,1595,1595
1555558118,1585,1585
1555560119,1564,1564
1555561951,1552,1552
1555563789,1553,1553
1555565782,1543,1543
1555567739,1550,1550
1555569639,1543,1543
1555571541,1390,1390
1555573618,1037,1037
1555575625,1394,1394
1555577556,1391,1391
1555579464,1395,1395
1555581406,1398,1398
1555583328,1411,1411
1555585350,1564,1564
1555587164,1571,1571
1555589143,1580,1580
1555590998,1589,1589
1555592930,1590,1590
1555594859,1591,1591
1555596804,1606,1606
1555598698,1633,1633
1555600656,1645,1645
1555602533,1647,1647
1555604498,1644,1644
1555606389,1649,1649
1555608355,1734,1734
1555610211,1731,1731
1555612153,1756,1756
1555614270,1772,1772
1555616458,1749,1749
1555618359,1740,1740
1555620257,1732,1732
1555622207,1722,1722
1555624093,1704,1704
1555626148,1819,1819
1555627972,1802,1802
1555629864,1793,1793
1555631798,1784,1784
1555633965,1783,1783
1555635893,1787,1787
1555637812,1783,1783
1555639715,1784,1784
1555641647,1788,1788
1555643548,1794,1794
1555645472,1805,1805
1555647405,1823,1823
1555649307,1829,1829
1555651247,1826,1826
1555653141,1819,1819
1555655062,1813,1813
1555657022,1822,1822
1555658911,1821,1821
1555661077,1829,1829
1555662978,1831,1831
1555664907,1848,1848
1555666842,1849,1849
1555668745,1863,1863
1555670671,1866,1866
1555672604,1714,1714
1555674506,1710,1710
1555676454,1708,1708
1555678359,1709,1709
1555680261,1709,1709
1555682367,1715,1715
1555684355,1693,1693
1555686297,1682,1682
1555688187,1680,1680
1555690132,1684,1684
1555692038,1681,1681
1555693945,1655,1655
1555695887,1593,1593
1555697838,1572,1572
1555699725,1553,1553
1555701635,1547,1547
1555703574,1547,1547
1555705458,1546,1546
1555707391,1555,1555
1555709333,1574,1574
1555711258,1583,1583
1555713163,1596,1596
1555715108,1606,1606
1555716990,1608,1608
1555718933,1621,1621
1555720841,1624,1624
1555722760,1618,1618
1555724683,1616,1616
1555726596,1607,1607
1555728510,1610,1610
1555730445,1601,1601
1555732342,1581,1581
1555734279,1560,1560
1555736196,1560,1560
1555738104,1549,1549
1555740149,1545,1545
1555741977,1540,1540
1555743898,1526,1526
1555745787,1365,1365
1555747711,1353,1353
1555749646,1347,1347
1555751555,1328,1328
1555753475,1312,1312
1555755388,1298,1298
1555757324,1273,1273
1555759239,1272,1272
1555761147,1391,1391
1555763089,1363,1363
1555764985,1348,1348
1555767167,1339,1339
1555769314,1315,1315
1555771222,1303,1303
1555773152,1292,1292
1555775060,1272,1272
1555777005,1259,1259
1555778909,1251,1251
1555780818,1249,1249
1555782740,1254,1254
1555784718,1244,1244
1555786603,1240,1240
1555788503,1240,1240
1555790552,1241,1241
1555792370,1240,1240
1555794325,1238,1238
1555796201,1222,1222
1555798359,1210,1210
1555800833,1190,1190
1555802684,1182,1182
1555804584,1177,1177
1555806506,1159,1159
1555808557,1148,1148
1555810367,1141,1141
1555812293,1138,1138
1555814183,1135,1135
1555816108,1125,1125
1555818020,1128,1128
1555819942,1127,1127
1555821888,1118,1118
1555823776,1109,1109
1555825697,1101,1101
1555827661,1105,1105
1555829548,1124,1124
1555831456,789,789
1555833403,1162,1162
1555835299,1171,1171
1555837309,1174,1174
1555839162,1196,1196
1555841092,1205,1205
1555842977,1216,1216
1555845161,1218,1218
1555847061,1087,1087
1555849012,1102,1102
1555850967,1105,1105
1555852856,1126,1126
1555854784,1140,1140
1555856655,1158,1158
1555858575,1172,1172
1555860509,1184,1184
1555862532,1195,1195
1555864349,1207,1207
1555866291,1214,1214
1555868172,1225,1225
1555870096,1237,1237
1555872037,1248,1248
1555873945,1254,1254
1555875859,1255,1255
1555877803,1271,1271
1555879692,1284,1284
1555881611,1295,1295
1555883557,1301,1301
1555885458,1310,1310
1555887635,1314,1314
1555889540,1314,1314
1555891358,1320,1320
1555893391,1325,1325
1555895303,1336,1336
1555897212,1353,1353
1555899153,1364,1364
1555901061,1377,1377
1555902987,1384,1384
1555904917,1391,1391
1555906847,1386,1386
1555908740,1380,1380
1555910655,1388,1388
1555912601,1391,1391
1555914497,1398,1398
1555916486,1374,1374
1555918380,1341,1341
1555920276,1327,1327
1555922177,1316,1316
1555924109,1310,1310
1555926033,1297,1297
1555927937,1296,1296
1555929867,1286,1286
1555931811,1282,1282
1555933710,1297,1297
1555935667,1306,1306
1555937555,1307,1307
1555939467,1297,1297
1555941392,1304,1304
1555943298,1311,1311
1555945295,1310,1310
1555947159,1311,1311
1555949332,1315,1315
1555951222,1315,1315
1555953150,1313,1313
1555955061,1307,1307
1555956996,1304,1304
1555958936,1307,1307
1555960838,1302,1302
1555962749,1301,1301
1555964669,1337,1337
1555966594,1323,1323
1555968503,1303,1303
1555970544,1289,1289
1555972592,1278,1278
1555974469,1273,1273
1555976474,1267,1267
1555978366,1272,1272
1555980282,1264,1264
1555982215,1266,1266
1555984117,1252,1252
1555986042,1238,1238
1555987945,1236,1236
1555989868,1229,1229
1555991795,1224,1224
1555993708,1228,1228
1555995775,1227,1227
1555997786,1219,1219
1555999706,1222,1222
1556001632,1230,1230
1556003534,1237,1237
1556005464,1242,1242
1556007394,1238,1238
1556009301,1233,1233
1556011244,1251,1251
1556013153,1250,1250
1556015172,1254,1254
