DateTime,AddedIPs,RemovedIPs
1554974911,26,1
1554976883,19,4
1554978738,37,5
1554980925,32,7
1554982817,28,4
1554984747,29,4
1554986656,33,3
1554988597,32,5
1554990505,26,11
1554992357,33,4
1554994357,31,5
1554996549,38,11
1554998598,25,5
1555000591,39,7
1555002515,0,8
1555004413,0,11
1555006343,1,10
1555008254,1,8
1555010178,0,9
1555012123,1,13
1555014011,1,8
1555015931,0,12
1555017867,2,20
1555019793,1,8
1555023213,1,23
1555025074,1,16
1555026996,1,20
1555028891,1,12
1555030861,2,13
1555032744,4,12
1555034700,1,16
1555036574,0,18
1555038500,1,22
1555040413,1,21
1555042334,2,21
1555044276,1,20
1555046201,0,15
1555048091,0,22
1555050017,1,26
1555051932,0,22
1555053853,0,22
1555055796,1,21
1555057689,0,29
1555059717,1,20
1555061561,2,27
1555063494,0,20
1555065370,2,36
1555067340,1,29
1555069213,3,29
1555071134,1,29
1555073062,0,35
1555074992,2,34
1555076895,2,27
1555078822,1,35
1555080749,0,31
1555082653,2,36
1555084580,4,19
1555086785,0,48
1555088912,2,1
1555090839,2,0
1555092776,0,1
1555094683,3,1
1555096588,2,0
1555098522,0,1
1555100458,1,1
1555102355,1,0
1555104280,2,2
1555106205,3,1
1555108037,2,1
1555110166,2,0
1555111975,1,1
1555113939,2,1
1555115806,4,1
1555117711,0,2
1555119769,3,4
1555121781,2,1
1555123726,2,1
1555125650,6,1
1555127571,1,0
1555129495,0,2
1555131398,0,1
1555133296,1,0
1555135373,3,0
1555137401,5,1
1555139328,1,0
1555141218,2,0
1555143139,2,1
1555145085,203,1
1555146981,1521,0
1555150850,1,0
1555154657,0,1
1555160572,1,0
1555168336,1,0
1555170279,1,2
1555172185,1,0
1555176033,1,0
1555177940,0,1
1555179855,1,0
1555185746,1,0
1555187777,0,1
1555191643,1,1
1555193536,1,0
1555199295,0,1
1555205104,0,1
1555206987,0,1
1555208908,1,0
1555210984,1,0
1555212977,2,2
1555216825,1,0
1555220653,2,0
1555222575,1,0
1555226434,1,0
1555228337,1,1
1555230266,3,0
1555232201,0,19
1555234097,1,5
1555236978,0,1763
1555242734,2,0
1555246573,0,1
1555254301,0,1
1555256191,0,1
1555258139,0,1
1555260040,1,0
1555261954,0,1
1555263877,1,0
1555265797,1,1
1555269640,1,0
1555271539,1,1
1555277301,0,1
1555281183,1,1
1555296747,0,2
1555298667,0,1
1555300597,1,0
1555302496,0,1
1555306361,1,2
1555310202,1,0
1555312127,1,1
1555314033,2,0
1555315947,2,4
1555317877,1,1
1555320060,0,1
1555327722,1,1
1555341410,2,0
1555343301,1,1
1555345246,1,0
1555347143,0,1
1555351003,0,1
1555352911,1,0
1555354968,1,1
1555358922,0,1
1555360834,1,0
1555364683,2,0
1555366585,0,1
1555369344,1,1
1555371154,1,0
1555386496,2,1
1555392279,0,1
1555396120,0,1
1555398142,1,1
1555399955,1,2
1555402121,1,2
1555404022,1,0
1555405963,0,1
1555409811,1,0
1555413638,0,1
1555417478,2,0
1555419401,1,0
1555421304,1,0
1555427083,0,1
1555429001,0,1
1555430919,0,2
1555436668,1,0
1555438596,0,1
1555440782,0,1
1555446686,1,0
1555450857,1,2
1555454750,2,1
1555456586,0,1
1555458523,1,0
1555460436,1,0
1555462367,1,0
1555468109,2,0
1555470309,1,0
1555472181,0,2
1555476267,1,0
1555484191,0,1
1555486282,0,1
1555488311,1,0
1555490191,0,1
1555495944,0,1
1555503655,0,2
1555505584,1,1
1555507471,1,1
1555513376,1,0
1555515402,0,1
1555517368,2,0
1555519229,1,0
1555523081,1,1
1555524991,1,0
1555532667,0,1
1555534598,1,1
1555538584,1,0
1555540875,0,2
1555542764,2,0
1555544658,2,1
1555546587,1,0
1555548508,1,2
1555554274,0,2
1555556180,0,1
1555560052,1,0
1555563778,0,1
1555569636,1,0
1555571539,1,0
1555573615,1,2
1555575620,0,1
1555577554,4,0
1555581403,1,0
1555583325,1,0
1555585318,1,0
1555589136,1,0
1555590994,1,1
1555592928,3,0
1555598695,0,1
1555600630,1,0
1555604496,0,3
1555608353,0,1
1555612151,0,1
1555616455,3,0
1555620253,0,1
1555626145,0,1
1555627968,0,2
1555629861,1,1
1555631794,1,1
1555633962,0,1
1555637810,1,0
1555639714,1,0
1555641645,1,0
1555647400,0,1
1555655060,0,1
1555658909,1,2
1555661074,1,0
1555662976,1,1
1555664905,0,3
1555666838,0,2
1555668741,1,0
1555672602,1,1
1555676452,0,2
1555678357,0,2
1555680259,0,2
1555682363,1,0
1555690130,1,0
1555697835,1,0
1555701632,1,0
1555703572,0,2
1555707390,1,0
1555709331,0,1
1555711255,1,0
1555713161,1,0
1555715101,1,0
1555716988,0,1
1555718931,1,0
1555722758,0,1
1555726594,1,2
1555728508,0,1
1555730443,1,0
1555732340,2,0
1555738101,0,1
1555740146,1,0
1555745785,1,1
1555747709,1,1
1555749644,0,1
1555755386,0,1
1555757322,2,1
1555759237,1,0
1555763086,1,0
1555764982,1,0
1555769311,1,1
1555773150,1,0
1555777002,2,1
1555778907,1,0
1555780816,1,0
1555782738,2,0
1555784715,0,1
1555786601,0,1
1555792368,1,0
1555794317,2,1
1555796198,2,0
1555798357,0,2
1555800831,0,1
1555804582,1,0
1555810365,2,0
1555812289,1,1
1555816106,1,1
1555818018,3,1
1555819941,0,1
1555821885,1,0
1555823775,1,0
1555827660,0,1
1555829546,2,0
1555831455,2,1
1555833402,1,1
1555835295,1,0
1555839160,2,0
1555842976,1,2
1555845160,0,1
1555849009,1,1
1555850966,1,0
1555852853,1,1
1555856654,0,1
1555858574,1,0
1555860508,0,1
1555862514,0,3
1555864348,1,0
1555866290,0,1
1555870095,0,2
1555872035,2,0
1555875856,2,0
1555879691,0,2
1555881610,2,1
1555883556,0,2
1555887632,1,0
1555891709,0,1
1555895556,1,0
1555897463,1,2
1555899373,1,1
1555901315,1,0
1555903220,1,2
1555905153,0,2
1555907061,0,1
1555909001,2,0
1555910890,2,1
1555914763,0,1
1555916662,1,1
1555918587,0,1
1555920507,0,3
1555922432,2,0
1555924337,0,2
1555928193,2,0
1555930094,0,1
1555933954,1,0
1555935864,2,1
1555937773,0,1
1555939965,1,1
1555941874,1,0
1555943783,1,0
1555945705,0,1
1555947624,1,0
1555949541,0,1
1555955306,1,0
1555957212,2,0
1555959400,0,1
1555961297,0,1
1555965161,1,1
1555967067,0,2
1555972840,3,1
1555974749,1,0
1555981317,2,2
1555983162,0,1
1555985325,0,1
1555989145,0,2
1555994923,0,1
1555996851,0,3
1555998754,1,0
1556000651,1,0
1556004513,0,1
1556008595,0,2
1556010421,1,0
1556012418,1,0
1556014355,0,2
