DateTime,AddedIPs,RemovedIPs
1555380774,11,3
1555382676,9,6
1555384592,11,3
1555386493,13,8
1555388429,15,7
1555390364,48,4
1555392277,57,9
1555394213,14,4
1555396118,21,5
1555398131,15,9
1555399953,9,18
1555402119,18,19
1555404019,15,12
1555405961,10,9
1555407868,19,9
1555409808,5,4
1555411711,14,5
1555413635,3,10
1555415542,8,6
1555417476,6,8
1555419399,10,9
1555421301,3,2
1555423327,7,12
1555425172,60,3
1555427081,5,6
1555428998,3,2
1555430917,7,9
1555432833,2,5
1555434741,8,7
1555436665,5,5
1555438592,7,4
1555440779,8,11
1555442660,6,13
1555444600,4,5
1555446683,5,12
1555448694,19,24
1555450855,23,6
1555452741,8,10
1555454748,16,12
1555456584,15,5
1555458520,25,10
1555460433,18,7
1555462365,20,13
1555464268,16,9
1555466191,11,13
1555468107,17,9
1555470306,20,13
1555472178,14,14
1555474361,36,13
1555476264,13,15
1555478462,24,97
1555480364,17,8
1555482277,25,15
1555484189,28,13
1555486279,22,10
1555488307,23,18
1555490187,9,21
1555492105,16,11
1555494033,21,18
1555495940,14,5
1555497886,11,8
1555499783,14,3
1555501701,13,8
1555503651,13,1
1555505581,19,5
1555507468,7,1
1555509405,11,7
1555511294,9,59
1555513351,15,16
1555515399,14,5
1555517365,14,7
1555519227,15,2
1555521146,8,8
1555523079,9,3
1555524989,10,11
1555526901,14,5
1555528851,13,7
1555530746,15,5
1555532664,8,5
1555534596,3,10
1555536507,9,15
1555538564,16,10
1555540378,2,8
1555542303,17,8
1555544199,10,12
1555546154,12,15
1555548038,10,14
1555549941,15,9
1555551885,11,12
1555553789,17,16
1555555964,12,15
1555557860,7,19
1555559782,12,25
1555561715,9,29
1555563734,12,14
1555565555,11,15
1555567507,14,17
1555569373,12,14
1555571337,13,26
1555573252,25,377
1555575145,368,10
1555577057,18,12
1555578977,14,16
1555580897,18,11
1555582830,20,11
1555584736,26,12
1555586679,27,13
1555588593,30,17
1555590536,22,14
1555592595,21,17
1555594842,13,13
1555596788,22,9
1555598682,33,13
1555600611,19,10
1555602528,13,13
1555604485,8,8
1555606353,15,10
1555608336,95,14
1555610199,7,10
1555612149,37,12
1555614158,23,8
1555615971,7,19
1555617922,7,15
1555619806,1,8
1555621954,6,13
1555623862,3,12
1555626142,129,12
1555627965,2,11
1555629858,5,12
1555631791,3,13
1555633959,13,13
1555635882,17,12
1555637807,7,13
1555639711,14,16
1555641642,13,11
1555643543,12,11
1555645467,17,10
1555647397,26,11
1555649303,19,11
1555651243,10,18
1555653137,11,16
1555655056,7,12
1555657018,14,9
1555658906,23,19
1555661052,23,14
1555662974,25,21
1555664903,24,9
1555666836,20,17
1555668739,26,11
1555670667,30,25
1555672600,18,31
1555674500,19,27
1555676449,22,21
1555678355,24,19
1555680257,14,13
1555682360,20,24
1555684350,15,32
1555686291,21,29
1555688182,11,12
1555690127,18,8
1555692034,9,13
1555693940,5,26
1555695883,9,75
1555697802,6,23
1555699719,11,32
1555701612,11,14
1555703569,8,6
1555705454,5,3
1555707376,10,4
1555709329,18,5
1555711252,13,5
1555713158,16,3
1555715099,14,2
1555716986,8,4
1555718929,11,3
1555720834,14,13
1555722755,8,16
1555724678,8,10
1555726592,10,14
1555728506,13,13
1555730440,5,12
1555732336,6,23
1555734275,10,25
1555736191,16,20
1555738098,3,9
1555740141,11,14
1555741972,7,12
1555743893,3,15
1555745783,7,166
1555747707,6,22
1555749641,7,21
1555751538,4,26
1555753471,7,19
1555755384,11,25
1555757304,8,24
1555759235,18,21
1555761142,2,14
1555763084,5,35
1555764979,15,23
1555767162,9,17
1555769309,4,21
1555771217,6,16
1555773147,9,20
1555775056,4,19
1555776999,5,18
1555778904,5,14
1555780813,5,5
1555782735,12,5
1555784695,3,9
1555786597,12,15
1555788498,11,11
1555790539,11,10
1555792366,5,7
1555794313,11,12
1555796195,11,22
1555798356,10,25
1555800828,9,28
1555802679,6,12
1555804580,3,9
1555806502,5,17
1555808510,5,11
1555810362,3,10
1555812286,6,9
1555814176,3,11
1555816104,4,12
1555818015,6,7
1555819938,11,13
1555821883,12,18
1555823772,4,11
1555825693,2,10
1555827656,7,9
1555829544,29,9
1555831452,32,365
1555833399,383,10
1555835293,29,12
1555837266,23,10
1555839158,30,8
1555841087,25,11
1555842974,14,11
1555845158,20,17
1555847058,13,4
1555849007,20,4
1555850962,21,14
1555852851,27,3
1555854781,20,6
1555856651,24,4
1555858572,26,10
1555860506,15,5
1555863378,21,9
1555865292,14,3
1555867208,16,6
1555869156,21,13
1555871054,13,6
1555872969,21,11
1555874915,14,12
1555876835,20,11
1555878732,17,3
1555880688,19,10
1555882571,12,13
1555884493,17,9
1555886437,10,5
1555888333,8,9
1555890252,11,1
1555892426,11,6
1555894333,18,5
1555896279,9,7
1555898193,18,4
1555900098,21,5
1555902109,11,1
1555903949,8,6
1555905874,17,11
1555907772,5,14
1555909719,11,3
1555911612,12,3
1555913535,9,6
1555915482,9,15
1555917375,7,36
1555919296,7,26
1555921227,11,27
1555923038,18,24
1555925058,13,24
1555926978,15,28
1555928913,14,16
1555930892,16,18
1555932990,14,18
1555934922,17,12
1555936832,13,17
1555938747,21,23
1555940671,20,28
1555942578,26,19
1555944527,24,22
1555946421,18,15
1555948330,15,17
1555950263,8,10
1555952202,16,9
1555954092,11,14
1555956994,18,23
1555958934,18,15
1555960834,12,16
1555962747,18,19
1555964667,50,15
1555966592,7,19
1555968501,2,19
1555970516,7,18
1555972339,3,10
1555974465,5,12
1555976470,3,10
1555978362,13,11
1555980269,3,13
1555982212,10,10
1555984113,9,14
1555986039,4,14
1555987942,6,13
1555989865,1,7
1555991793,9,16
1555993706,6,6
1555995756,10,11
1555997783,6,15
1555999704,12,10
1556001630,19,8
1556003531,15,7
1556005462,11,4
1556007391,10,13
1556009299,13,18
1556011241,27,10
1556013151,19,13
1556015170,16,14
