DateTime,AddedIPs,RemovedIPs
1555168332,1,2
1555170268,1,0
1555172179,1,1
1555174090,3,1
1555176027,2,0
1555179850,0,4
1555181786,0,1
1555183699,1,0
1555187531,4,1
1555189480,1,2
1555191382,2,1
1555193297,0,4
1555195239,2,1
1555197135,1,0
1555199053,1,0
1555201233,1,1
1555203137,1,2
1555205100,2,0
1555206983,3,0
1555208904,3,0
1555210922,3,1
1555212764,1,1
1555214687,1,2
1555216584,0,2
1555218515,1,3
1555224423,0,1
1555226429,0,1
1555228332,0,1
1555230262,1,1
1555234093,3,0
1555236974,1,0
1555238909,0,1
1555242730,0,1
1555244658,1,1
1555248490,0,1
1555250492,0,1
1555252357,0,1
1555254296,0,2
1555256188,0,2
1555258134,0,2
1555260036,0,1
1555261949,1,0
1555263873,1,3
1555265793,2,1
1555267704,1,2
1555269636,1,0
1555271533,2,2
1555273467,1,3
1555275390,2,1
1555277296,0,1
1555279300,1,2
1555283116,0,2
1555285000,0,6
1555286918,0,2
1555291060,1,1
1555292937,1,2
1555294813,0,2
1555296743,1,6
1555298663,1,1
1555304503,1,1
1555308278,2,0
1555310198,0,1
1555312123,0,1
1555314029,3,0
1555315943,2,1
1555317873,1,0
1555320053,4,1
1555322074,6,2
1555323877,0,2
1555325794,1,4
1555327717,0,2
1555329698,0,1
1555331566,0,1
1555333473,0,1
1555335395,0,2
1555337325,0,1
1555339234,2,0
1555341406,1,0
1555343296,6,0
1555347138,4,0
1555349054,1,0
1555350999,2,4
1555352907,2,0
1555356013,1,2
1555357970,1,2
1555359863,0,1
1555361771,1,1
1555363717,1,0
1555365664,2,0
1555367561,0,2
1555371638,0,3
1555373569,1,0
1555375487,2,0
1555377394,1,1
1555381462,1,1
1555383397,1,1
1555385318,0,1
1555388182,1,0
1555392274,0,1
1555394212,1,1
1555396116,0,1
1555398113,1,0
1555399952,1,0
1555402117,0,1
1555404017,0,2
1555405959,0,2
1555407865,1,6
1555409807,2,1
1555411710,1,1
1555417474,1,0
1555419396,0,1
1555421300,2,1
1555423317,1,0
1555425169,0,1
1555428997,1,1
1555430915,0,1
1555432831,2,0
1555434739,0,1
1555436663,0,1
1555438590,0,1
1555440777,0,4
1555442656,0,1
1555446681,1,0
1555448691,1,0
1555450853,2,1
1555452739,2,1
1555454746,1,1
1555456582,1,0
1555458519,1,5
1555460432,0,3
1555462363,0,6
1555464267,2,0
1555466189,3,0
1555468105,1,1
1555470301,1,0
1555474359,2,2
1555476263,0,1
1555480362,1,3
1555482275,0,3
1555486276,2,3
1555488305,2,1
1555494032,0,1
1555495939,0,1
1555497884,0,2
1555501699,1,0
1555503650,1,2
1555505579,0,1
1555507459,4,1
1555511293,2,0
1555513329,2,0
1555517363,1,1
1555519225,0,2
1555521144,0,2
1555523077,1,1
1555524988,2,0
1555528850,2,0
1555530745,1,2
1555534594,2,1
1555536505,0,1
1555538535,4,1
1555540377,1,2
1555542300,3,3
1555544197,2,2
1555546151,2,0
1555548037,2,0
1555549939,2,1
1555551884,1,3
1555553788,0,1
1555555962,2,0
1555557858,0,1
1555559781,1,0
1555563713,1,0
1555565553,2,0
1555569372,1,0
1555573251,1,2
1555575143,0,1
1555577056,0,1
1555578976,2,0
1555582828,4,0
1555584735,2,0
1555586677,1,0
1555590534,0,2
1555592586,0,2
1555594840,0,1
1555596785,2,1
1555598680,3,4
1555602526,0,1
1555604484,0,1
1555606342,1,0
1555608322,2,2
1555610197,2,0
1555614117,0,1
1555615956,0,1
1555617902,0,2
1555619780,1,1
1555621953,1,1
1555626140,2,0
1555627963,1,5
1555629856,1,2
1555631789,2,1
1555633958,2,2
1555635879,0,2
1555639709,3,2
1555641641,1,0
1555643542,0,3
1555645466,2,0
1555647395,0,1
1555649302,0,1
1555651241,1,0
1555653135,1,0
1555655055,0,1
1555658905,1,0
1555661029,1,0
1555664901,1,1
1555668737,0,3
1555670665,1,0
1555672599,0,4
1555674497,1,0
1555676447,0,1
1555678352,3,0
1555680256,2,1
1555682358,0,4
1555684347,1,1
1555688181,7,0
1555690125,4,0
1555692032,0,2
1555693939,2,3
1555695881,1,2
1555697801,2,0
1555699718,2,0
1555701610,1,0
1555703567,3,0
1555705453,1,1
1555707374,0,1
1555709327,2,1
1555711248,1,0
1555713157,1,0
1555715098,3,1
1555716984,0,2
1555718927,0,2
1555720833,1,2
1555724676,1,1
1555726590,0,2
1555728504,0,1
1555732335,1,0
1555736190,1,1
1555738096,0,1
1555740134,2,0
1555741971,1,0
1555743891,2,1
1555749639,2,0
1555753469,1,0
1555757302,0,1
1555759233,1,1
1555761139,1,0
1555764978,1,4
1555769307,1,1
1555771215,1,1
1555773145,2,1
1555775054,1,1
1555776996,0,2
1555778902,0,1
1555780811,1,0
1555782734,2,4
1555784692,1,0
1555788497,4,0
1555790518,2,2
1555792364,2,0
1555796194,2,2
1555798355,2,0
1555800826,0,6
1555802678,2,2
1555804578,1,1
1555806501,1,2
1555808487,2,1
1555810361,4,1
1555812282,0,1
1555816103,2,0
1555819937,2,0
1555821881,1,1
1555823770,0,1
1555825691,4,4
1555827655,0,1
1555829542,1,1
1555835291,1,2
1555840094,2,1
1555842009,2,0
1555843957,3,0
1555845854,1,0
1555847769,0,2
1555852600,1,3
1555854507,1,1
1555860257,1,0
1555862205,0,4
1555864127,0,5
1555866049,2,4
1555867942,3,2
1555869885,3,1
1555871799,4,0
1555873700,2,2
1555875641,0,1
1555877555,3,1
1555879467,1,2
1555883298,3,1
1555885216,4,4
1555887164,2,0
1555889058,3,1
1555891297,2,2
1555893149,1,0
1555895069,1,3
1555896993,1,2
1555898902,3,2
1555900812,1,0
1555902753,2,0
1555904662,2,0
1555906588,1,2
1555908495,1,1
1555910439,3,1
1555912331,1,2
1555914253,2,2
1555916198,0,1
1555920076,2,0
1555923877,2,0
1555925790,3,2
1555927702,2,0
1555929630,3,3
1555931537,0,3
1555933459,4,0
1555935378,2,1
1555941140,1,1
1555943061,0,1
1555944974,1,0
1555949327,1,0
1555951218,3,0
1555953147,1,2
1555955059,0,3
1555956992,1,3
1555958932,1,1
1555960833,0,3
1555962745,0,2
1555964665,2,3
1555966591,1,2
1555968499,3,2
1555970485,1,7
1555972338,3,1
1555976468,7,5
1555978361,0,1
1555980268,1,0
1555982211,0,1
1555984112,2,4
1555986037,1,4
1555987940,4,3
1555989864,1,2
1555991791,1,1
1555993704,1,2
1555995733,1,3
1555997549,1,2
1555999487,0,2
1556003311,0,1
1556007149,0,2
1556009055,2,0
1556011239,0,1
1556013149,6,3
1556015168,2,4
